frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,neck_x,neck_y
0,0.2809666097164154,0.5092562437057495,0.24875223636627197,0.5261604189872742,0.25280895829200745,0.4881417751312256,0.26000267267227173,0.55047208070755,0.27070853114128113,0.4537021219730377,0.4405897557735443,0.5857345461845398,0.4195035994052887,0.40121835470199585,0.6053420305252075,0.6664466857910156,0.6314820051193237,0.369912326335907,0.8101487755775452,0.6113134026527405,0.7964965105056763,0.372780978679657,0.8473578095436096,0.5506373047828674,0.8461470603942871,0.4419219195842743,,,,,,,,,0.4293774664402008,0.4932844340801239
1,0.28097960352897644,0.5092038512229919,0.2486659437417984,0.5261182188987732,0.2528267502784729,0.48799654841423035,0.2597634196281433,0.5504765510559082,0.2706720232963562,0.45364809036254883,0.4404509663581848,0.5856013894081116,0.41936689615249634,0.40102919936180115,0.604819118976593,0.6664467453956604,0.6316367387771606,0.3698408007621765,,,0.7961959838867188,0.3727174699306488,0.846796452999115,0.5505159497261047,0.831786572933197,0.4406011700630188,,,,,,,,,0.4291783273220062,0.4931260645389557
2,0.28091785311698914,0.5093082189559937,0.24874749779701233,0.5262460112571716,0.2528057396411896,0.4880889058113098,0.2601760923862457,0.5505103468894958,0.2709128260612488,0.4536881446838379,0.4411023259162903,0.5860103964805603,0.41910412907600403,0.40062910318374634,0.6017049551010132,0.6676559448242188,0.6314751505851746,0.3695060610771179,,,0.7953235507011414,0.3721334636211395,0.8450485467910767,0.5505449175834656,0.8308244943618774,0.4414313733577728,,,,,,,,,0.4293278753757477,0.4933639168739319
3,0.2810109555721283,0.5092280507087708,0.2487814575433731,0.5262510776519775,0.25279349088668823,0.48796534538269043,0.26023587584495544,0.5506195425987244,0.2708899676799774,0.4535512924194336,0.4413163363933563,0.5859634280204773,0.4192412495613098,0.4008091390132904,0.6019924283027649,0.6676884293556213,0.6315145492553711,0.3695555627346039,,,0.7953657507896423,0.3720569610595703,0.8450413346290588,0.5505179762840271,0.8308626413345337,0.441398948431015,,,,,,,,,0.42950206995010376,0.49337539076805115
4,0.2812093496322632,0.5089476704597473,0.2478715479373932,0.5264896750450134,0.2522357702255249,0.487541526556015,0.2591034471988678,0.5515920519828796,0.27087801694869995,0.45324715971946716,0.449301540851593,0.5878531336784363,0.420823872089386,0.40071365237236023,,,0.6338333487510681,0.3696708083152771,,,0.7968521118164062,0.37252309918403625,0.8469732403755188,0.5507000088691711,0.8463330864906311,0.44106945395469666,,,,,,,,,0.43330326676368713,0.49515414237976074
5,0.28120744228363037,0.5090937614440918,0.2479332834482193,0.5265454053878784,0.252280056476593,0.4877265393733978,0.25905856490135193,0.5514918565750122,0.27084094285964966,0.4534046947956085,0.44949474930763245,0.5877993702888489,0.4208586513996124,0.4007938504219055,0.648462176322937,0.617300808429718,0.6338232755661011,0.36971575021743774,,,0.7967541813850403,0.3725479543209076,0.8470908999443054,0.5506575703620911,0.8463811874389648,0.4409777820110321,,,,,,,,,0.43346717953681946,0.49521225690841675
6,0.28118443489074707,0.509125828742981,0.2479911893606186,0.5265530943870544,0.25229617953300476,0.48772773146629333,0.25891241431236267,0.5513691902160645,0.27049022912979126,0.4534585177898407,0.4455256462097168,0.5856362581253052,0.42055514454841614,0.40101128816604614,0.6501139402389526,0.6074928045272827,0.6333970427513123,0.36966651678085327,,,0.7966855764389038,0.3726019859313965,0.8459528088569641,0.5498707890510559,0.8319902420043945,0.4402689039707184,,,,,,,,,0.43258973956108093,0.4949886202812195
7,0.2810238003730774,0.5090644359588623,0.24798138439655304,0.5264825224876404,0.2521975040435791,0.48770657181739807,0.25909683108329773,0.5512193441390991,0.27049049735069275,0.4534696638584137,0.4454602897167206,0.5854535698890686,0.4205149710178375,0.40104538202285767,0.6500893831253052,0.6073580384254456,0.6332421898841858,0.36965054273605347,,,0.7966137528419495,0.37260937690734863,0.8457397818565369,0.5498740077018738,0.8318295478820801,0.44032901525497437,,,,,,,,,0.4325103163719177,0.4948832392692566
8,0.2814931273460388,0.5087758302688599,0.2485615760087967,0.5262710452079773,0.25264841318130493,0.4877440631389618,0.2593195140361786,0.5510598421096802,0.2703344523906708,0.4536268711090088,0.44529789686203003,0.5826481580734253,0.42040035128593445,0.4012313187122345,0.6538155674934387,0.6037762761116028,0.6335280537605286,0.3694134056568146,,,0.7966689467430115,0.37265151739120483,0.8463513255119324,0.5485354661941528,0.8325181007385254,0.43996232748031616,,,,,,,,,0.43220290541648865,0.49402952194213867
9,0.2815331816673279,0.5088880658149719,0.24848899245262146,0.5263295769691467,0.2526870369911194,0.48778027296066284,0.2591288089752197,0.551100492477417,0.2703767418861389,0.45363134145736694,0.44525808095932007,0.5827720761299133,0.42050236463546753,0.4012860655784607,0.6539375185966492,0.6038795709609985,0.6336410641670227,0.3694511353969574,,,0.7968366742134094,0.37270814180374146,0.8465366959571838,0.5485860705375671,0.8462306261062622,0.44100841879844666,,,,,,,,,0.43225815892219543,0.4941386878490448
10,0.2818201184272766,0.5087559223175049,0.24886156618595123,0.5260416865348816,0.25299832224845886,0.48787808418273926,0.25935792922973633,0.5510825514793396,0.270413875579834,0.4537675380706787,0.44900789856910706,0.5846284627914429,0.42180222272872925,0.40120282769203186,0.6644949316978455,0.6050523519515991,0.6353346705436707,0.36962059140205383,,,0.797306478023529,0.37263137102127075,0.8487950563430786,0.5475135445594788,0.8474580645561218,0.44051483273506165,,,,,,,,,0.4338917136192322,0.49508944153785706
11,0.2824544608592987,0.5104014873504639,0.24899530410766602,0.5277194380760193,0.25287142395973206,0.4888356626033783,0.26105087995529175,0.55177903175354,0.27114221453666687,0.45366376638412476,0.44479140639305115,0.5840145349502563,0.42359551787376404,0.4000886380672455,0.6650594472885132,0.6057465672492981,0.637215256690979,0.37129849195480347,,,0.8101593255996704,0.38022246956825256,0.8472675681114197,0.5516943335533142,0.8329223394393921,0.44149136543273926,,,,,,,,,0.4336039125919342,0.49382758140563965
12,0.28270381689071655,0.5107438564300537,0.24887441098690033,0.527994692325592,0.2528151273727417,0.4892858862876892,0.2603427469730377,0.5519386529922485,0.2707023024559021,0.45410993695259094,0.4427981376647949,0.5835769772529602,0.4238254427909851,0.4000255763530731,0.6643081903457642,0.604703426361084,0.6390343308448792,0.37148651480674744,,,0.8114497065544128,0.38076093792915344,0.8476839661598206,0.5511955618858337,0.8476453423500061,0.4415830075740814,,,,,,,,,0.43291860818862915,0.4937191605567932
13,0.28269049525260925,0.5107790231704712,0.248634472489357,0.5280599594116211,0.2527085542678833,0.4892593026161194,0.260149747133255,0.5520716309547424,0.27080094814300537,0.4539180397987366,0.44259071350097656,0.5835098028182983,0.4239480793476105,0.4003444015979767,0.6641983389854431,0.6050149202346802,0.6391803622245789,0.3715304732322693,,,0.8118537664413452,0.3807484209537506,0.8478898406028748,0.5512901544570923,0.8478291630744934,0.44188302755355835,,,,,,,,,0.4329216778278351,0.49389079213142395
14,0.282850056886673,0.5111805200576782,0.24899867177009583,0.5284437537193298,0.2527163326740265,0.48961004614830017,0.2609345316886902,0.552075207233429,0.27078643441200256,0.4539364278316498,0.4423789381980896,0.5838925242424011,0.42408421635627747,0.3996180593967438,0.6656151413917542,0.6034694314002991,0.6394339203834534,0.3712253272533417,,,0.8113570213317871,0.38107648491859436,0.8487009406089783,0.5518856048583984,0.8628662824630737,0.44191819429397583,,,,,,,,,0.4329815208911896,0.493740975856781
15,0.28293749690055847,0.511124312877655,0.24907617270946503,0.5283609628677368,0.25277042388916016,0.48959070444107056,0.2610149383544922,0.5519770979881287,0.27079465985298157,0.4539441764354706,0.44246745109558105,0.5838495492935181,0.42412322759628296,0.39969587326049805,0.6657366752624512,0.6033485531806946,0.639439046382904,0.3712157607078552,,,0.8112996816635132,0.3810860514640808,0.8487505316734314,0.5518323183059692,0.8628917932510376,0.4419569969177246,,,,,,,,,0.4330224096775055,0.4937132000923157
16,0.2832328677177429,0.511285662651062,0.24936623871326447,0.5284793972969055,0.25289344787597656,0.48968127369880676,0.2610611319541931,0.5521533489227295,0.2706761360168457,0.45396944880485535,0.4415305256843567,0.5844744443893433,0.4238240122795105,0.3995570242404938,0.6649332046508789,0.6029616594314575,0.6388452649116516,0.37117451429367065,,,0.8111034035682678,0.38052693009376526,0.8483372330665588,0.5538342595100403,0.8482718467712402,0.4412839710712433,,,,,,,,,0.43239831924438477,0.4942260682582855
17,0.28331509232521057,0.5111685395240784,0.24941779673099518,0.528337836265564,0.2530073821544647,0.48955774307250977,0.26105982065200806,0.5520898103713989,0.27085068821907043,0.45396819710731506,0.4415089786052704,0.584419310092926,0.4238407611846924,0.3996186852455139,0.664795458316803,0.6029070019721985,0.6387439966201782,0.3711977005004883,,,0.8109387755393982,0.38045185804367065,0.8481165170669556,0.5538609623908997,0.848170816898346,0.44137701392173767,,,,,,,,,0.43238383531570435,0.49423763155937195
18,0.28324615955352783,0.5110304951667786,0.24926738440990448,0.5282425284385681,0.2527483403682709,0.4894275367259979,0.261068195104599,0.5518916845321655,0.2706202268600464,0.45388466119766235,0.44227370619773865,0.5847920775413513,0.4240318834781647,0.39936551451683044,0.6664214730262756,0.6036328077316284,0.6393080353736877,0.3710096776485443,,,0.8104559779167175,0.3803916573524475,0.847316324710846,0.554334282875061,0.8327089548110962,0.4403500556945801,,,,,,,,,0.4328877329826355,0.49455714225769043
19,0.28322547674179077,0.5108334422111511,0.24923130869865417,0.528098464012146,0.25276583433151245,0.48921623826026917,0.2612060606479645,0.5519195795059204,0.27078911662101746,0.45382240414619446,0.4423893392086029,0.584928035736084,0.42429015040397644,0.39944347739219666,0.666251003742218,0.6037160754203796,0.6392304301261902,0.37103280425071716,,,0.8106541037559509,0.3803640305995941,0.8470438122749329,0.5543799996376038,0.8324354887008667,0.44042733311653137,,,,,,,,,0.4330790340900421,0.49474218487739563
20,0.28299209475517273,0.5112175345420837,0.24960510432720184,0.5279739499092102,0.2531563639640808,0.4898497760295868,0.26172253489494324,0.5509360432624817,0.271325021982193,0.4545651078224182,0.4404902756214142,0.5839080214500427,0.4236459732055664,0.40036511421203613,0.6528021693229675,0.6015449166297913,0.637630045413971,0.37285709381103516,,,0.8109062910079956,0.38337627053260803,0.8298057317733765,0.5558188557624817,0.8291873931884766,0.4434414505958557,,,,,,,,,0.43190327286720276,0.49513134360313416
21,0.2831287086009979,0.5112096667289734,0.2497224062681198,0.5279056429862976,0.25318893790245056,0.4898815453052521,0.2617955207824707,0.5508460402488708,0.2712894082069397,0.4545985758304596,0.44045382738113403,0.5838937163352966,0.42364931106567383,0.40034908056259155,0.652717649936676,0.601611316204071,0.6375971436500549,0.372842401266098,,,0.8106898665428162,0.38327935338020325,0.8298109173774719,0.5558086037635803,0.8291929960250854,0.44336843490600586,,,,,,,,,0.43190065026283264,0.49514517188072205
22,0.2834853231906891,0.5120293498039246,0.251950204372406,0.528448224067688,0.25403478741645813,0.4910660684108734,0.2623998522758484,0.5507837533950806,0.2714873254299164,0.455280601978302,0.44026562571525574,0.5827326774597168,0.4242536723613739,0.4024290442466736,0.6521986722946167,0.601010262966156,0.6387647390365601,0.37566834688186646,,,0.8117551803588867,0.3835923969745636,0.8141589164733887,0.5549997687339783,0.8272209763526917,0.4444226920604706,,,,,,,,,0.43219298124313354,0.4955301880836487
23,0.28352686762809753,0.5120384693145752,0.2519640624523163,0.5284911394119263,0.2540600299835205,0.49103933572769165,0.2625369429588318,0.550826907157898,0.2716207504272461,0.45524123311042786,0.4403053820133209,0.5826882123947144,0.42423132061958313,0.40255382657051086,0.6521658301353455,0.6012532114982605,0.6386570334434509,0.3757912814617157,,,0.8120665550231934,0.38386407494544983,0.8280208706855774,0.5554276704788208,0.8273816704750061,0.44466015696525574,,,,,,,,,0.43218913674354553,0.49554315209388733
24,0.2837947905063629,0.5117494463920593,0.2520756125450134,0.528337299823761,0.2543622851371765,0.4907207489013672,0.26235276460647583,0.551002025604248,0.2718411087989807,0.4550608694553375,0.4397624135017395,0.5828856229782104,0.42429548501968384,0.40259620547294617,0.6523882150650024,0.6014825105667114,0.6391827464103699,0.37609797716140747,,,0.8119398951530457,0.38394203782081604,0.8286662697792053,0.556009829044342,0.8279041647911072,0.4448930323123932,,,,,,,,,0.43201833963394165,0.4958478510379791
