frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,neck_x,neck_y
0,0.27677756547927856,0.6427455544471741,0.2553730010986328,0.6468825340270996,0.2585558593273163,0.6200914978981018,,,0.27948933839797974,0.5793870091438293,0.4179112911224365,0.6903663277626038,0.4054661691188812,0.5263569355010986,0.6191542744636536,0.7125250101089478,,,0.7730845808982849,0.7060129046440125,,,0.8097890019416809,0.6464059948921204,0.7975051999092102,0.5233904719352722,,,,,,,,,0.4114881455898285,0.6089696288108826
1,0.27968165278434753,0.6262010335922241,0.2589896619319916,0.6284298896789551,0.2613759934902191,0.6072075963020325,0.2842641770839691,0.6288890242576599,0.2855069935321808,0.5644317269325256,0.42066720128059387,0.6707109212875366,0.4099644124507904,0.5092190504074097,0.6337880492210388,0.6861643195152283,0.41405725479125977,0.4266532361507416,,,,,0.8066293001174927,0.6295149922370911,0.7945701479911804,0.5087307691574097,,,,,,,,,0.4155580401420593,0.5905148386955261
2,0.27937859296798706,0.6258020997047424,0.25862550735473633,0.628374457359314,0.2611399292945862,0.6067142486572266,0.28415215015411377,0.6294280290603638,0.2855210602283478,0.5638946294784546,0.4204491078853607,0.6706194877624512,0.40972238779067993,0.5092754364013672,0.6332088708877563,0.6861076354980469,0.41394752264022827,0.4267753064632416,,,,,0.8065043091773987,0.6297410726547241,0.7943882942199707,0.5088539719581604,,,,,,,,,0.41517144441604614,0.5906059145927429
3,0.2752097249031067,0.6057764291763306,0.25312283635139465,0.6070243716239929,0.25808629393577576,0.5806090235710144,0.27445295453071594,0.6128749847412109,0.27972620725631714,0.5427635312080383,0.4201519787311554,0.6547343134880066,0.40409615635871887,0.48659181594848633,0.6483281254768372,0.6709523797035217,0.4075440764427185,0.3885946571826935,,,0.38990655541419983,0.2768577039241791,0.8084779381752014,0.6103269457817078,0.7970321774482727,0.48451557755470276,,,,,,,,,0.4117448329925537,0.5719956159591675
4,0.2765931487083435,0.5998336672782898,0.2530103623867035,0.6062232255935669,0.25829997658729553,0.5796477198600769,0.27425140142440796,0.6125683188438416,0.2800140380859375,0.5426940321922302,0.42032167315483093,0.6549946665763855,0.4040542542934418,0.4865557849407196,0.6484808921813965,0.6709784865379333,0.40763622522354126,0.3883967995643616,,,0.39000970125198364,0.2768459618091583,0.8084917068481445,0.6104439496994019,0.797033965587616,0.48453202843666077,,,,,,,,,0.4118002951145172,0.5721352696418762
5,0.30547064542770386,0.5205196142196655,0.2763717770576477,0.5318331122398376,0.2564631700515747,0.5741456747055054,0.27542242407798767,0.5934270620346069,0.2849203050136566,0.531457245349884,0.4136200547218323,0.639995276927948,0.40348029136657715,0.46853500604629517,0.42067238688468933,0.7796744108200073,0.3985080420970917,0.3442819118499756,,,0.38069745898246765,0.2526382505893707,0.8299894332885742,0.6010216474533081,0.8296133279800415,0.4704151451587677,,,,,,,,,0.4072858691215515,0.5548613667488098
6,0.30513066053390503,0.5205651521682739,0.2758614718914032,0.5319122076034546,0.25649088621139526,0.5737476348876953,0.2753497064113617,0.5938295125961304,0.2850181758403778,0.5312821269035339,0.41350093483924866,0.6405029892921448,0.4034574329853058,0.46853509545326233,0.42072930932044983,0.7839526534080505,0.3983520567417145,0.34399479627609253,,,0.3807927966117859,0.2523517906665802,0.8303920030593872,0.6015385389328003,0.8300518989562988,0.4704974591732025,,,,,,,,,0.4071753919124603,0.5550629496574402
7,0.2756895422935486,0.5721759796142578,0.2525673806667328,0.5744587779045105,0.2573276460170746,0.5485938191413879,0.272778183221817,0.5805259943008423,0.28077155351638794,0.5098331570625305,0.4153149724006653,0.6204020380973816,0.3999707102775574,0.45303988456726074,0.6493716835975647,0.6427114605903625,0.3995704650878906,0.3296509087085724,,,0.3817141652107239,0.2350410670042038,0.8306066393852234,0.5796172022819519,0.829536497592926,0.45237424969673157,,,,,,,,,0.406468003988266,0.5379815101623535
8,0.2752380073070526,0.5728943943977356,0.2521745562553406,0.5753437876701355,0.25680550932884216,0.549858033657074,,,0.28072601556777954,0.5097009539604187,0.4151448607444763,0.6203048825263977,0.39981594681739807,0.45291629433631897,0.6491840481758118,0.6428226828575134,0.40002506971359253,0.3298778235912323,,,0.38205865025520325,0.23518265783786774,0.8304930925369263,0.5793790817260742,0.8295730948448181,0.45232895016670227,,,,,,,,,0.40626534819602966,0.5377583503723145
9,0.2766036093235016,0.5565443634986877,0.25523656606674194,0.5575107336044312,0.25820979475975037,0.5378982424736023,0.2780078947544098,0.5644293427467346,0.2833358645439148,0.4963899552822113,0.4174136221408844,0.6057564616203308,0.4022831916809082,0.4411008358001709,0.41797906160354614,0.7516375184059143,0.39944887161254883,0.31329986453056335,,,0.37327831983566284,0.20619142055511475,0.8293323516845703,0.5667101740837097,0.8275700211524963,0.4427207112312317,,,,,,,,,0.40847542881965637,0.523947536945343
10,0.2767973244190216,0.5564967393875122,0.2554929554462433,0.556579053401947,0.25833946466445923,0.5379810333251953,0.2780459225177765,0.5633033514022827,0.28318509459495544,0.49671441316604614,0.4176263213157654,0.6055737733840942,0.40229448676109314,0.4412354528903961,0.418508380651474,0.7520446181297302,0.401561439037323,0.32365575432777405,,,,,0.8293701410293579,0.5665323138237,0.8276159167289734,0.44259127974510193,,,,,,,,,0.4085733890533447,0.5239043831825256
11,0.29128286242485046,0.4987353980541229,0.2647857069969177,0.5230905413627625,0.26953431963920593,0.4953148365020752,0.27978160977363586,0.5483859777450562,0.28169843554496765,0.48705074191093445,0.42105522751808167,0.5943301320075989,0.40031981468200684,0.43079495429992676,0.6369829177856445,0.6121911406517029,0.398469477891922,0.30964937806129456,,,0.37238189578056335,0.1925986111164093,0.8281516432762146,0.5567975640296936,0.8266682028770447,0.4320858120918274,,,,,,,,,0.41001102328300476,0.5123133659362793
12,0.291088342666626,0.49905481934547424,0.2646290063858032,0.5230761170387268,0.2694719731807709,0.49506211280822754,0.2796659767627716,0.5487828254699707,0.28174081444740295,0.48658472299575806,0.42112812399864197,0.59453946352005,0.4002111256122589,0.4307691156864166,0.636837899684906,0.6122354865074158,0.39861950278282166,0.3094143271446228,,,0.37259748578071594,0.1927252858877182,0.8282999396324158,0.5568240284919739,0.8267095685005188,0.43203186988830566,,,,,,,,,0.4099980294704437,0.512424647808075
13,0.2910519242286682,0.49576708674430847,0.2645983099937439,0.5139294862747192,0.2695207893848419,0.49013376235961914,0.2764642834663391,0.5485175251960754,0.28098830580711365,0.4796389043331146,0.4214778244495392,0.5937439799308777,0.4000595510005951,0.4311457574367523,0.6387718915939331,0.6101514101028442,0.3985803723335266,0.31316328048706055,,,0.37043070793151855,0.19371895492076874,0.8291422724723816,0.5565111637115479,0.827798068523407,0.4313194751739502,,,,,,,,,0.41017666459083557,0.5121178030967712
14,0.29143333435058594,0.49559298157691956,0.2668282389640808,0.5133768320083618,0.26985111832618713,0.4900071322917938,0.2766070067882538,0.5484181046485901,0.2810629904270172,0.47963079810142517,0.4214964807033539,0.5937012434005737,0.40019649267196655,0.43104058504104614,0.638595700263977,0.6102687120437622,0.39862921833992004,0.313067764043808,,,0.37055450677871704,0.19379658997058868,0.8293484449386597,0.556565523147583,0.8279862999916077,0.4311545491218567,,,,,,,,,0.4102267622947693,0.5120621919631958
15,0.2898838222026825,0.4966588020324707,0.26296550035476685,0.5150960683822632,0.26841145753860474,0.49189525842666626,0.27675145864486694,0.5483629107475281,0.2808285057544708,0.48083868622779846,0.42102739214897156,0.5943424105644226,0.3997553884983063,0.43076395988464355,0.6383078694343567,0.6110420823097229,0.3989774286746979,0.3131091892719269,,,0.3709540069103241,0.19317056238651276,0.8305522203445435,0.5583029389381409,0.8289139866828918,0.43132874369621277,,,,,,,,,0.40968722105026245,0.5124467015266418
16,0.290131539106369,0.49582281708717346,0.26336997747421265,0.51418536901474,0.2687433362007141,0.4910487234592438,0.2768961489200592,0.5483206510543823,0.2809450626373291,0.4806945323944092,0.42116549611091614,0.5942898392677307,0.39983829855918884,0.4307918846607208,0.6385611295700073,0.6108857989311218,0.39896878600120544,0.31318017840385437,,,0.3706565797328949,0.19338953495025635,0.8309968113899231,0.5578621625900269,0.8292590975761414,0.43103721737861633,,,,,,,,,0.40980198979377747,0.5124505758285522
17,0.2920363247394562,0.4929387867450714,0.26489850878715515,0.5109718441963196,0.27034634351730347,0.4893917739391327,0.27696606516838074,0.5474138855934143,0.2813541889190674,0.48155075311660767,0.42070403695106506,0.5947613716125488,0.39944520592689514,0.43113642930984497,0.6392645835876465,0.6120635867118835,0.3966612219810486,0.3115289509296417,,,0.36912035942077637,0.19169750809669495,0.8303865194320679,0.5601114630699158,0.8294687271118164,0.43287038803100586,,,,,,,,,0.40903526544570923,0.5129263997077942
18,0.29230791330337524,0.4914369583129883,0.26525530219078064,0.5093895792961121,0.27080878615379333,0.487687349319458,0.27686652541160583,0.5475901365280151,0.2815052568912506,0.480869323015213,0.42051273584365845,0.5948149561882019,0.3996542990207672,0.4314015805721283,0.638982355594635,0.6120833158493042,0.3966691195964813,0.3115229308605194,,,0.3690856099128723,0.1916450709104538,0.8305784463882446,0.5600026249885559,0.8296775221824646,0.4330521523952484,,,,,,,,,0.40896183252334595,0.5131732821464539
19,0.2924441993236542,0.4933052957057953,0.267837256193161,0.5112807154655457,0.27067482471466064,0.48964062333106995,0.27781906723976135,0.5477955341339111,0.281165212392807,0.4812236726284027,0.41874662041664124,0.5929157137870789,0.3995365500450134,0.43090659379959106,0.6347600221633911,0.6123886704444885,0.39714017510414124,0.31231489777565,,,0.3694024085998535,0.1912582963705063,0.8263867497444153,0.5587225556373596,0.8266740441322327,0.432889848947525,,,,,,,,,0.40845656394958496,0.5114004015922546
20,0.2929397225379944,0.49213454127311707,0.2684609889984131,0.5099754929542542,0.2712717652320862,0.48864269256591797,0.2782382369041443,0.5475889444351196,0.2814442813396454,0.48118945956230164,0.4188867509365082,0.5929522514343262,0.39954110980033875,0.4308761954307556,0.6349253058433533,0.6125297546386719,0.3970801830291748,0.31206342577934265,,,0.3694669306278229,0.19087937474250793,0.8264346122741699,0.5586089491844177,0.8267707228660583,0.4329756796360016,,,,,,,,,0.40856310725212097,0.5114595890045166
