frame,nose_x,nose_y,left_eye_x,left_eye_y,right_eye_x,right_eye_y,left_ear_x,left_ear_y,right_ear_x,right_ear_y,left_shoulder_x,left_shoulder_y,right_shoulder_x,right_shoulder_y,left_elbow_x,left_elbow_y,right_elbow_x,right_elbow_y,left_wrist_x,left_wrist_y,right_wrist_x,right_wrist_y,left_hip_x,left_hip_y,right_hip_x,right_hip_y,left_knee_x,left_knee_y,right_knee_x,right_knee_y,left_ankle_x,left_ankle_y,right_ankle_x,right_ankle_y,neck_x,neck_y
0,0.2565886974334717,0.45777836441993713,0.23746727406978607,0.4824053943157196,0.23174914717674255,0.4456614851951599,0.26540592312812805,0.5209707617759705,,,0.4134070873260498,0.567121684551239,0.41436511278152466,0.4111407697200775,0.6496079564094543,0.605207622051239,0.43944811820983887,0.2933596074581146,,,0.4047762453556061,0.24081012606620789,0.850093424320221,0.5520917177200317,0.8342841267585754,0.43156638741493225,,,,,,,,,0.4085518717765808,0.4895739257335663
1,0.2566480040550232,0.45880892872810364,0.23770202696323395,0.48283055424690247,0.2311624139547348,0.4466094970703125,0.2670672833919525,0.521420955657959,0.24457381665706635,0.43321871757507324,0.4140937924385071,0.5674169659614563,0.4141048789024353,0.4098196029663086,0.6498436331748962,0.6048492789268494,0.4332205355167389,0.2801041901111603,,,0.3919052183628082,0.22306014597415924,0.8791379332542419,0.5506954193115234,0.8631042838096619,0.4290086627006531,,,,,,,,,0.40907472372055054,0.48894527554512024
2,0.256640762090683,0.45903295278549194,0.23779961466789246,0.48316580057144165,0.23105135560035706,0.44681641459465027,0.2672213017940521,0.5215483903884888,0.24433743953704834,0.4332227110862732,0.41379186511039734,0.5670230984687805,0.41399678587913513,0.4097217619419098,0.6402206420898438,0.6045722365379333,0.43332239985466003,0.27987974882125854,,,0.39141950011253357,0.22261153161525726,0.853327751159668,0.5517100691795349,0.8625287413597107,0.4294550120830536,,,,,,,,,0.40888532996177673,0.48871803283691406
3,0.2568081021308899,0.4588196575641632,0.2381950467824936,0.48321083188056946,0.2309248149394989,0.4462610185146332,0.2673321068286896,0.5218047499656677,,,0.41539454460144043,0.5669447779655457,0.41365066170692444,0.4095170497894287,0.6513435244560242,0.6047233939170837,0.43258216977119446,0.2818605303764343,,,0.3847000002861023,0.20452679693698883,0.8522660136222839,0.5508976578712463,0.8479171991348267,0.426847904920578,,,,,,,,,0.40928322076797485,0.4882079064846039
4,0.25688308477401733,0.4588378369808197,0.23836538195610046,0.4832313358783722,0.23108719289302826,0.44644472002983093,0.2674633860588074,0.5217563509941101,,,0.4153779447078705,0.5669053196907043,0.4136941730976105,0.4094959795475006,0.6513051390647888,0.6046643853187561,0.4326874911785126,0.2819039225578308,,,0.3847315013408661,0.20461861789226532,0.8519984483718872,0.5508820414543152,0.8478284478187561,0.42702746391296387,,,,,,,,,0.4092559218406677,0.4881761372089386
5,0.2576720118522644,0.4588756859302521,0.238616943359375,0.4828142523765564,0.23176869750022888,0.44624802470207214,0.26752546429634094,0.5213838815689087,,,0.41650208830833435,0.5674744248390198,0.4151639938354492,0.4081921875476837,0.6637920141220093,0.605225682258606,0.42491772770881653,0.26390573382377625,,,0.36664119362831116,0.17187687754631042,0.8528633713722229,0.5502200126647949,0.8484247922897339,0.4263889789581299,,,,,,,,,0.4121531546115875,0.4876965880393982
6,0.257341206073761,0.4590524137020111,0.23846986889839172,0.4829672873020172,0.23146167397499084,0.4463694989681244,0.26744773983955383,0.5213536620140076,0.2435034215450287,0.43262889981269836,0.4159756004810333,0.5674026608467102,0.414951354265213,0.40833231806755066,0.6523064374923706,0.6046989560127258,0.4249798655509949,0.26466628909111023,,,0.3671998083591461,0.17248941957950592,0.8523802757263184,0.5505290627479553,0.8481440544128418,0.4267525374889374,,,,,,,,,0.411790668964386,0.48764482140541077
7,0.25795432925224304,0.4587104916572571,0.23895703256130219,0.48284298181533813,0.23203018307685852,0.4463067352771759,0.26765647530555725,0.5212191939353943,,,0.41634610295295715,0.5672898888587952,0.41512802243232727,0.4083957374095917,0.6640833616256714,0.6052058339118958,0.42635518312454224,0.274517685174942,,,0.368164986371994,0.15447509288787842,0.8521329164505005,0.5507903695106506,0.8476752042770386,0.42653679847717285,,,,,,,,,0.4122440218925476,0.4879326820373535
8,0.2577071189880371,0.4587666988372803,0.23876748979091644,0.4828750193119049,0.23176516592502594,0.4464115798473358,0.26745280623435974,0.5211474299430847,,,0.41616812348365784,0.5667276978492737,0.41489624977111816,0.40847840905189514,0.664402425289154,0.604968249797821,0.42622247338294983,0.27455127239227295,,,0.3683478534221649,0.15441620349884033,0.8518155813217163,0.5504918694496155,0.8472947478294373,0.42645007371902466,,,,,,,,,0.4120950400829315,0.4877304136753082
9,0.25797343254089355,0.4577297568321228,0.2387908548116684,0.48206374049186707,0.23214851319789886,0.44588351249694824,0.26762256026268005,0.5211717486381531,,,0.41620853543281555,0.5677937269210815,0.4155007302761078,0.4101589322090149,0.6636009216308594,0.6052755117416382,0.4298233687877655,0.2775259017944336,,,0.3689643442630768,0.15138527750968933,0.8513717651367188,0.5512088537216187,0.847199022769928,0.4298611581325531,,,,,,,,,0.412250816822052,0.4887849688529968
10,0.25780245661735535,0.45777827501296997,0.23868051171302795,0.48211488127708435,0.23198135197162628,0.44594883918762207,0.2674011290073395,0.5211963057518005,,,0.41588789224624634,0.5672950148582458,0.4152055084705353,0.41015300154685974,0.6635880470275879,0.6050974726676941,0.4297462999820709,0.27748197317123413,,,0.36887505650520325,0.15131089091300964,0.8511083722114563,0.550883412361145,0.8347126841545105,0.4294176697731018,,,,,,,,,0.41192081570625305,0.4885461926460266
11,0.25787755846977234,0.45812326669692993,0.23858973383903503,0.48218587040901184,0.23312082886695862,0.4478382468223572,0.26732322573661804,0.5215781331062317,,,0.41742047667503357,0.5717054605484009,0.41414982080459595,0.40779563784599304,0.6636716723442078,0.6048539280891418,0.4277971386909485,0.2704516351222992,,,0.3750740885734558,0.13711215555667877,0.8530330657958984,0.5500643253326416,0.8481753468513489,0.4246499240398407,,,,,,,,,0.4120827317237854,0.4886033236980438
12,0.25796857476234436,0.45772719383239746,0.23872235417366028,0.48185160756111145,0.23326507210731506,0.4476172924041748,0.26747116446495056,0.5213792324066162,,,0.4176461100578308,0.5714203715324402,0.41429346799850464,0.4077911674976349,0.6638115048408508,0.6047805547714233,0.4257737696170807,0.2640467882156372,,,0.3749904930591583,0.13707658648490906,0.8530512452125549,0.5496525168418884,0.8479864001274109,0.4243774712085724,,,,,,,,,0.41229119896888733,0.4885465204715729
13,0.25768011808395386,0.45692726969718933,0.23848889768123627,0.47953304648399353,0.23212073743343353,0.4462741017341614,0.26753416657447815,0.520660936832428,,,0.4172840118408203,0.5683311820030212,0.4135150611400604,0.4076821506023407,0.6638404726982117,0.6044489741325378,0.4235454499721527,0.2743249833583832,,,0.3814370632171631,0.14662708342075348,0.8514507412910461,0.5484796762466431,0.8343316912651062,0.42350003123283386,,,,,,,,,0.4123924672603607,0.48805317282676697
14,0.2576097548007965,0.45671626925468445,0.2383531630039215,0.4792790710926056,0.23215465247631073,0.446159690618515,0.2673569321632385,0.5205539464950562,,,0.41741710901260376,0.5685438513755798,0.41370049118995667,0.4076574146747589,0.6635943055152893,0.6044885516166687,0.42351850867271423,0.27418214082717896,,,0.3816284239292145,0.14640644192695618,0.8512259721755981,0.5485749840736389,0.8341149091720581,0.42374658584594727,,,,,,,,,0.4125249683856964,0.4881907105445862
15,0.25781726837158203,0.4564702808856964,0.2384820133447647,0.47911617159843445,0.23225387930870056,0.44603174924850464,0.2675108015537262,0.5204194784164429,,,0.41718024015426636,0.5685837268829346,0.41407540440559387,0.40714889764785767,0.6634300351142883,0.6042400002479553,0.4246765673160553,0.27654656767845154,,,0.3983505666255951,0.16184952855110168,0.8500657081604004,0.548132598400116,0.832245409488678,0.4224120080471039,,,,,,,,,0.4125365912914276,0.48827871680259705
16,0.25780799984931946,0.45656678080558777,0.2385236769914627,0.47927045822143555,0.2323186844587326,0.44614750146865845,0.2674352824687958,0.5204800963401794,,,0.4173506200313568,0.5685526728630066,0.41419297456741333,0.4071180820465088,0.6636589765548706,0.604207456111908,0.42471742630004883,0.2762357294559479,,,0.3984270989894867,0.16207683086395264,0.8500443696975708,0.5480067133903503,0.8322843909263611,0.42247098684310913,,,,,,,,,0.4126991927623749,0.48833486437797546
17,0.2578798234462738,0.4564982056617737,0.23849549889564514,0.47912317514419556,0.23236516118049622,0.4460926353931427,0.2673647701740265,0.5204612016677856,,,0.41789063811302185,0.5709313750267029,0.4142616391181946,0.40700119733810425,0.665080189704895,0.6044456362724304,0.4249987006187439,0.2768225073814392,,,0.3992171585559845,0.1630052775144577,0.8510435223579407,0.5483853220939636,0.8333973288536072,0.4219634234905243,,,,,,,,,0.4130273461341858,0.48851844668388367
18,0.25774091482162476,0.4564877152442932,0.23840023577213287,0.4791736900806427,0.2322145253419876,0.4460836946964264,0.26741093397140503,0.5205218195915222,,,0.41789987683296204,0.5710099935531616,0.4142507016658783,0.40691685676574707,0.6649554967880249,0.6045299768447876,0.4249188005924225,0.27704694867134094,,,0.3991367220878601,0.16314002871513367,0.8512033820152283,0.5486817359924316,0.8337695002555847,0.4221765995025635,,,,,,,,,0.41301360726356506,0.4884679913520813
